sipa,2011-09-19T09:34:15Z,ACK on the changes to core. I haven't reviewed the UI code itself.\n,https://github.com/bitcoin/bitcoin/pull/521#issuecomment-2131830,2131830,
laanwj,2011-09-21T19:35:50Z,"Huh I don't see anything about a message field in the URL handling? What's it supposed to parse, and do with it?\n",https://github.com/bitcoin/bitcoin/pull/521#issuecomment-2160013,2160013,
TheBlueMatt,2011-09-21T19:42:22Z,"re:images I dont have a problem with it but I thought id bring it up to make sure no one else had any problems with it.\nRe:translations, it just bugs me that half the translations are in po format and the other half are in qt.  That might cause issues later on if there are conflicting translations used by bitcoind.  My question was whether or not it would be possible to modify the qt-generated co",https://github.com/bitcoin/bitcoin/pull/521#issuecomment-2160106,2160106,
TheBlueMatt,2011-09-21T19:46:37Z,See https://en.bitcoin.it/wiki/URI_Scheme\n(ignore lukes tonal exponent crap)\n,https://github.com/bitcoin/bitcoin/pull/521#issuecomment-2160145,2160145,
laanwj,2011-09-21T19:49:10Z,"Eventually all the translations should be in qt format (ts), not the other\nway around, IMO. The Qt translation system is more advanced (context\nsensitive, can take into account multiples, shows the GUI while translating\netc).\n\nThe po files could be generated from the ts files, for use by bitcoind, and\nwouldn't even need to be in git. This would need another script but not a\nvery complex one",https://github.com/bitcoin/bitcoin/pull/521#issuecomment-2160179,2160179,
laanwj,2011-09-21T19:49:51Z,"What would you want to do with the message? Display it in a popup? Currently, the ""send coins"" tab is opened and the amount, address and label is simply added to the recipients list when a URL is drag&dropped into the client.\n",https://github.com/bitcoin/bitcoin/pull/521#issuecomment-2160189,2160189,
laanwj,2011-09-21T19:53:52Z,"BTW **bitcoind** doesn't use translation at all; I guess it'd need to link against libgettext to do that. Currently, without ui, _ is implemented as this (util.h):\n\n```\n#if !defined(QT_GUI) && !defined(GUI)\ninline const char* _(const char* psz)\n{\n    return psz;\n}\n#endif\n```\n\nIf this is kept the same, this means the po files can simply  be removed when the wx UI goes away.\n",https://github.com/bitcoin/bitcoin/pull/521#issuecomment-2160240,2160240,
tcatm,2011-09-21T19:56:18Z,"RE: message in bitcoin uri\n\nIt should be stored as a comment for that transaction. Actually, I'd like to have a editable comment field for every transaction (outgoing and incoming) so one could label individual transactions on a single address. I think the wallet and RPC already supports comments.\n",https://github.com/bitcoin/bitcoin/pull/521#issuecomment-2160266,2160266,
laanwj,2011-09-21T20:01:12Z,"Is that true? I haven't noticed it. I intended to add such functionality.  A long time ago I sent a message on the mailing list about adding metadata to transactions and address book addresses, but no one ever replied, so I guessed it was not practical or useless.\n\nAnyway, we can add this later. It's a good idea in any case.\n",https://github.com/bitcoin/bitcoin/pull/521#issuecomment-2160329,2160329,
p2k,2011-09-21T20:04:19Z,laanwj: Just a side note: I've written a python script that reads ts files and outputs unicode string tables for use in mac or iphone applications. I think it won't take me long to modify it so it outputs po files.\n,https://github.com/bitcoin/bitcoin/pull/521#issuecomment-2160360,2160360,
laanwj,2011-09-21T20:11:33Z,"p2k: nice, if we decide to add gettext-based translation to bitcoind that will certainly come in handy\n",https://github.com/bitcoin/bitcoin/pull/521#issuecomment-2160453,2160453,
TheBlueMatt,2011-09-21T20:29:20Z,"Meh, I dont care if all the translations are po or qt, but I would think it would be better to have them all together instead of split between two files.\n",https://github.com/bitcoin/bitcoin/pull/521#issuecomment-2160709,2160709,
laanwj,2011-09-21T20:32:29Z,"As I said, unless gettext-based translation is added to bitcoind, we can\nsimply remove the .po files when the wx UI is deprecated. That would solve\nthe problem wouldn't it?\n",https://github.com/bitcoin/bitcoin/pull/521#issuecomment-2160747,2160747,
TheBlueMatt,2011-09-21T20:36:55Z,"yes.,  long as existing translations are ported over.\n",https://github.com/bitcoin/bitcoin/pull/521#issuecomment-2160802,2160802,
laanwj,2011-09-21T20:39:46Z,"Yes, that could be done, though that'd only work for the strings in the\nbitcoin core. Most of the strings in the UI itself would remain untranslated\nas they're different from before.\n",https://github.com/bitcoin/bitcoin/pull/521#issuecomment-2160851,2160851,
TheBlueMatt,2011-09-21T18:40:49Z,USE_UPNP should be tri-state. ie USE_UPNP=0 is different than USE_UPNP undefined.\n,https://github.com/bitcoin/bitcoin/pull/521#discussion_r134641,134641,bitcoin-qt.pro
TheBlueMatt,2011-09-21T18:43:26Z,"Im not against adding this file if it is needed, but can I ask why it is?\n",https://github.com/bitcoin/bitcoin/pull/521#discussion_r134653,134653,contrib/miniupnpc/Portfile
laanwj,2011-09-21T18:48:44Z,"It is tri-state:\n\nqmake USE_UPNP=\n-> miniupnpc not linked / compiled in\n\nqmake USE_UPNP=0\n-> miniupnpc is compiled in, but disabled by default (-llibupnpc is linked\nin, USE_UPNP=0 is set)\n\nqmake USE_UPNP=1\n-> miniupnpc is compiled in, and enabled by default (-llibupnpc is linked\nin, USE_UPNP=0 is set)\n\n(as documented in doc/readme-qt.rst)\n\nI've just tested this out, and it works as ",https://github.com/bitcoin/bitcoin/pull/521#discussion_r134662,134662,bitcoin-qt.pro
TheBlueMatt,2011-09-21T18:49:36Z,H ow safely Is this done wrt people modifying nodes to report incorrect block counts? \n,https://github.com/bitcoin/bitcoin/pull/521#discussion_r134664,134664,doc/readme-qt.rst
laanwj,2011-09-21T18:52:53Z,"It was added by @p2k to improve MacOSX support, I suppose it's some kind of\nauto-build file.\n",https://github.com/bitcoin/bitcoin/pull/521#discussion_r134680,134680,contrib/miniupnpc/Portfile
laanwj,2011-09-21T18:53:28Z,"(uh, the last one should say ""...USE_UPNP=1 is set"")\n",https://github.com/bitcoin/bitcoin/pull/521#discussion_r134684,134684,bitcoin-qt.pro
TheBlueMatt,2011-09-21T18:57:01Z,Its a macport port file for the latest miniupnpc.  That's fine but I'm not sure about putting it in the bitcoin repo.  It should probably just be submitted upstream to macports and not be put on bitcoin.\n,https://github.com/bitcoin/bitcoin/pull/521#discussion_r134699,134699,contrib/miniupnpc/Portfile
TheBlueMatt,2011-09-21T18:58:51Z,"mmm, I guess I just don't know how to read qmake files, or am blind...probably both.  Just wanted to check to make sure.\n",https://github.com/bitcoin/bitcoin/pull/521#discussion_r134706,134706,bitcoin-qt.pro
laanwj,2011-09-21T18:59:36Z,"They could report more blocks than they actually have (not less, as the\nmaximum is taken of peers and a hardcoded minimum bound\n nTotalBlocksEstimate  is taken into account). This could mess up the\nprogress bar, but apart from that influences nothing. It's just a visual\nindicator.\n\n> H ow safely Is this done wrt people modifying nodes to report incorrect\n> block counts?\n> \n> ## \n> \n> Re",https://github.com/bitcoin/bitcoin/pull/521#discussion_r134708,134708,doc/readme-qt.rst
TheBlueMatt,2011-09-21T19:03:45Z,Would it not make sense to try to drop outliers just to keep people from complaining if they get odd progress bars?\n,https://github.com/bitcoin/bitcoin/pull/521#discussion_r134725,134725,doc/readme-qt.rst
laanwj,2011-09-21T19:11:35Z,"Maybe, but that's extra complexity which could introduce bugs in itself. I\ndidn't think that'd be worth adding the extra complexity to the core. But it\ncould keep track of the numbers reported by the last N nodes connected to,\nthen report the median, for example...\n\nWould it not make sense to try to drop outliers just to keep people from\n\n> complaining if they get odd progress bars?\n> \n> ",https://github.com/bitcoin/bitcoin/pull/521#discussion_r134754,134754,doc/readme-qt.rst
TheBlueMatt,2011-09-21T19:16:01Z,"Maybe its just me, but id feel better if it at least took some effort to spoof, even if not much.\n",https://github.com/bitcoin/bitcoin/pull/521#discussion_r134770,134770,doc/readme-qt.rst
p2k,2011-09-21T19:35:24Z,"Yes, this is a temporary solution and I will remove this file as soon as macports fixes the issue.\n",https://github.com/bitcoin/bitcoin/pull/521#discussion_r134806,134806,contrib/miniupnpc/Portfile
TheBlueMatt,2011-09-21T19:44:39Z,"Meh, still not sure about putting it in bitcoin, but I guess it doesn't matter.\n",https://github.com/bitcoin/bitcoin/pull/521#discussion_r134823,134823,contrib/miniupnpc/Portfile
p2k,2011-09-21T20:09:34Z,"I'll try to send it to macports right now and remove it in the very minute they accept it, ok?\n\nEDIT: You can monitor the process here: https://trac.macports.org/ticket/31354\n",https://github.com/bitcoin/bitcoin/pull/521#discussion_r134874,134874,contrib/miniupnpc/Portfile
