instagibbs,2019-10-22 19:16:31,"appreciated, will review",https://github.com/bitcoin/bitcoin/pull/17219#issuecomment-545112411,545112411,
achow101,2019-10-23 22:48:48,"To avoid overestimating on fees, maybe move `change_prototype_txout` and `change_output_size` setting into here?. Then set `change_output_size` to 0 below in the else block.",https://github.com/bitcoin/bitcoin/pull/17219#discussion_r338313880,338313880,src/wallet/wallet.cpp
Sjors,2019-10-24 14:56:27,"Done, but I wasn't able to write a test that shows a difference. ",https://github.com/bitcoin/bitcoin/pull/17219#discussion_r338623327,338623327,src/wallet/wallet.cpp
fjahr,2019-10-30 13:35:48,"`GetScriptForDestination(dest)` is called twice here if we can reserve a dest. I would optimize this slightly: \n\n```suggestion\n                if (!reservedest.GetReservedDestination(change_type, dest, true)) {\n                    strFailReason = _(""Can't generate a transaction without change. Please call keypoolrefill first."").translated;\n                }\n                scriptChange",https://github.com/bitcoin/bitcoin/pull/17219#discussion_r340615439,340615439,src/wallet/wallet.cpp
fjahr,2019-10-30 13:40:32,"I think this error message is ambiguous: It could mean we can't generate a transaction with change without a change address because we can't get the dest. But it could also mean we can not generate a transaction that does not need a change at all. I could see my self thinking here: ""What do you mean? I have change in this tx!"".",https://github.com/bitcoin/bitcoin/pull/17219#discussion_r340618350,340618350,src/wallet/wallet.cpp
luke-jr,2019-11-04 16:26:40,This seems unnecessary? How could it ever NOT be empty here?,https://github.com/bitcoin/bitcoin/pull/17219#discussion_r342142258,342142258,src/wallet/wallet.cpp
Sjors,2019-11-04 16:55:26,Removed. I added a potentially more useful assert below `scriptChange = GetScriptForDestination(dest);`,https://github.com/bitcoin/bitcoin/pull/17219#discussion_r342157746,342157746,src/wallet/wallet.cpp
Sjors,2019-11-04 16:55:27,"Changed to: `Transaction needs a change address, but we can't generate it. Please call keypoolrefill first.`",https://github.com/bitcoin/bitcoin/pull/17219#discussion_r342157753,342157753,src/wallet/wallet.cpp
Sjors,2019-11-04 16:55:30,Done,https://github.com/bitcoin/bitcoin/pull/17219#discussion_r342157780,342157780,src/wallet/wallet.cpp
fjahr,2020-02-02 18:15:08,I think L2634-2635 can be removed again. They are already declared in L2578-2579.,https://github.com/bitcoin/bitcoin/pull/17219#discussion_r373864657,373864657,src/wallet/wallet.cpp
Sjors,2020-02-04 10:27:07,"Odd, removed again.",https://github.com/bitcoin/bitcoin/pull/17219#discussion_r374588579,374588579,src/wallet/wallet.cpp
achow101,2020-04-16 16:18:17,"It's not clear to me what this assert is checking for.\n\nIf `dest` is not empty, we got a change destination and so `scriptChange` is not empty. If dest is empty, then `scriptChange` will be empty. So this just covers all cases and can't fail?",https://github.com/bitcoin/bitcoin/pull/17219#discussion_r409683229,409683229,src/wallet/wallet.cpp
Sjors,2020-04-17 08:31:12,"I can't remember why I wrote this, but I think the idea was to ensure `GetScriptForDestination()` returns an empty script for an empty destination. Perhaps that's overkill; I can drop it if there's any other changes needed in this PR.",https://github.com/bitcoin/bitcoin/pull/17219#discussion_r410073296,410073296,src/wallet/wallet.cpp
achow101,2020-04-17 16:34:41,"I guess it's fine, but it just seems like useless code that might be confusing to future readers. I would suggest that it be removed in a followup that touches this code.",https://github.com/bitcoin/bitcoin/pull/17219#discussion_r410338333,410338333,src/wallet/wallet.cpp
