jgarzik,2015-09-15T17:32:11Z,Seems quite reasonable - ut ACK\n,https://github.com/bitcoin/bitcoin/pull/6134#issuecomment-140474419,140474419,
jtimon,2015-12-01T12:35:22Z,"See yesterday's IRC discussion, yes, he even nacks the most minimal way to remove the circular dependency (the first commit currently in #7115  ) and he will not provide an alternative because he does not want to remove the dependency.\n",https://github.com/bitcoin/bitcoin/pull/6134#issuecomment-160955429,160955429,
jtimon,2015-11-18T15:47:48Z,"Can `GetArg(""-maxmempool"", DEFAULT_MAX_MEMPOOL_SIZE)` be an attribute so that it can be calculated just once in the constructor?\n",https://github.com/bitcoin/bitcoin/pull/6134#discussion_r45216058,45216058,src/policy/fees.cpp
jtimon,2015-11-18T15:50:53Z,style nit: https://github.com/bitcoin/bitcoin/blob/master/src/.clang-format#L41\n,https://github.com/bitcoin/bitcoin/pull/6134#discussion_r45216518,45216518,src/policy/fees.cpp
jtimon,2015-11-18T15:52:14Z,style nit: too many new lines\n,https://github.com/bitcoin/bitcoin/pull/6134#discussion_r45216738,45216738,src/policy/fees.cpp
MarcoFalke,2015-11-18T15:56:19Z,Someone should prepare `clang-format-diff.py` for use in bitcoin?\n,https://github.com/bitcoin/bitcoin/pull/6134#discussion_r45217357,45217357,src/policy/fees.cpp
morcos,2015-11-18T16:06:20Z,"Sure.  But honestly it seems a bit silly to me that this is not an attribute of the mempool.  I understand the point of keeping policy out of the mempool, but why should you need to be aware of the max size of the mempool just to ask what it's min fee is.   The one advantage I can see for the current structure is that you can call TrimToSize with some other number to do testing.\nPerhaps TrimToSiz",https://github.com/bitcoin/bitcoin/pull/6134#discussion_r45218874,45218874,src/policy/fees.cpp
jtimon,2015-11-18T16:36:21Z,"Yes, you are right: it should probably be an attribute of CTxMemPool instead, and minPoolFee could be passed here instead of the CTxMemPool pointer. In fact, CTxMemPool depend on CBlockPolicyEstimator, so CBlockPolicyEstimator shouldn't depend on CTxMemPool too (sigh, I had a branch in which neither one depended on the other at least once but now just https://github.com/jtimon/bitcoin/commits/poli",https://github.com/bitcoin/bitcoin/pull/6134#discussion_r45223295,45223295,src/policy/fees.cpp
morcos,2015-11-18T16:42:33Z,"You can't pass the minFee it's dynamic, you have to ask the mempool for it.\nI think the CBlockPolicyEstimator should come out of the mempool though for sure.  \n",https://github.com/bitcoin/bitcoin/pull/6134#discussion_r45224193,45224193,src/policy/fees.cpp
jtimon,2015-11-18T17:09:04Z,What I'm saying is you can ask the mempool before calling this (ie rplace the pool pointer parameter with const CAmount& minPoolFee in this new method).\n,https://github.com/bitcoin/bitcoin/pull/6134#discussion_r45228107,45228107,src/policy/fees.cpp
jtimon,2015-11-18T21:41:49Z,"Please look at https://github.com/jtimon/bitcoin/tree/6134-nits\nBy the way, we should solve the circular dependency by separating CTxMemPoolEntry. That way txmempool.cpp includes policy/fees.h, and policy/fees.cpp includes txmempoolentry.h (but not txmempool.h). Just came to mind again, not saying is within the scope of this PR.\n",https://github.com/bitcoin/bitcoin/pull/6134#discussion_r45264672,45264672,src/policy/fees.cpp
jtimon,2015-11-19T19:06:28Z,"Yes, we have talked about this many times, but so far nobody has done it.\n",https://github.com/bitcoin/bitcoin/pull/6134#discussion_r45384887,45384887,src/policy/fees.cpp
MarcoFalke,2015-11-19T19:18:21Z,I could do it (it's just like https://github.com/bitcoin/bitcoin/tree/master/contrib/devtools#clang-formatpy) but when no one is actually using it...\n,https://github.com/bitcoin/bitcoin/pull/6134#discussion_r45386518,45386518,src/policy/fees.cpp
jtimon,2015-11-20T14:31:57Z,"I didn't even knew that already existed, thanks. The problem with that is that ""This should only be applied to new files or files which are currently not actively developed on"". It would be nice (but more complicated) to have one that, applied to a specific commit, applies the format rules only on the lines you are touching (otherwise your diffs can get use).\nEDIT: anyway, we can take this to a n",https://github.com/bitcoin/bitcoin/pull/6134#discussion_r45473892,45473892,src/policy/fees.cpp
