jonasschnelli,2016-02-18T14:36:52Z,Concept ACK.\n,https://github.com/bitcoin/bitcoin/pull/7552#issuecomment-185748475,185748475,
laanwj,2016-03-28T12:05:31Z,"> Why the additional requirement of this having to return the same as sendrawtx?\n\nThat is the default assumption. I suppose if we can document the differences (e.g. no mempool replacement, no fee checks) that'd help.\n\nIf you want to do only consensus checks you can already do that with this code, just disable the standardness check (and possibly the use mempool flag). I do think checking stand",https://github.com/bitcoin/bitcoin/pull/7552#issuecomment-202357406,202357406,
jtimon,2016-03-29T13:21:46Z,"Well, yeah, documenting the differences seems much simpler to make the relay/mempool policy checks complete. So called ""standardness"" is encapsulated in policy/policy.o and its dependencies, but completing the rest of the policy checks won't be so simple I think.\nI would rather complete consensus or to-be-consensus checks first (ie bips 68, 112 and 113).\nWith or without ""standardness"", I may bac",https://github.com/bitcoin/bitcoin/pull/7552#issuecomment-202890836,202890836,
NicolasDorier,2016-07-15T11:20:48Z,"Wouldn't the easiest way to make this feature is to create a dummy block, with a dummy coinbase, and add the transaction inside it and call ConnectBlock with fJustCheck to true ?\n",https://github.com/bitcoin/bitcoin/pull/7552#issuecomment-232926799,232926799,
jtimon,2016-07-15T11:39:35Z,"I don't think the goal of this PR was offering the functionality the ""easiest way"", but since it was checking policy things as well, I'm not sure I ever understood the PR.\nIn any case, what you propose (which doesn't sound very elegant) would also not be complete: currently you would need to also call ContextualCheckBlock() with that dummy block for the tx to be fully verified.\n",https://github.com/bitcoin/bitcoin/pull/7552#issuecomment-232930602,232930602,
NicolasDorier,2016-07-15T14:02:53Z,"At the API level, I think users care only about one parameter: Whether we check against Node Policy or Consensus Policy. I think the current PR was attempting too many options.\n\nI'll probably try to make it later since this PR already did most of the heavy work.\n",https://github.com/bitcoin/bitcoin/pull/7552#issuecomment-232958986,232958986,
laanwj,2016-07-18T06:55:03Z,"> Wouldn't the easiest way to make this feature is to create a dummy block, with a dummy coinbase, and add the transaction inside it and call ConnectBlock with fJustCheck to true ?\n\nOriginally I meant this as a pre-check whether `sendrawtransaction` will accept a chain of transactions.\nCreating a dummy block would work to check consensus validity only.\n\n>  I think the current PR was attemptin",https://github.com/bitcoin/bitcoin/pull/7552#issuecomment-233246956,233246956,
MarcoFalke,2016-02-25T14:15:48Z,Nit: Appears to be [missing](https://xkcd.com/859/) the left parenthesis.\n,https://github.com/bitcoin/bitcoin/pull/7552#discussion_r54099802,54099802,src/rpc/rawtransaction.cpp
instagibbs,2016-02-25T14:18:00Z,or adding a superfluous right one\n,https://github.com/bitcoin/bitcoin/pull/7552#discussion_r54100122,54100122,src/rpc/rawtransaction.cpp
jtimon,2016-02-25T19:22:20Z,"As said I would leave this out for now, until we have more relay/mining policy encapsulated to expose here in a more generic way.\nEDIT: I didn't noticed that you are also using this for choosing the script flags...then I guess I would one of these:\n\nA) Replace this parameter with a flags one and leave calling to IsStandardTx() for later.\nB) Maintain IsStandardTx() but also add AreInputsStandar",https://github.com/bitcoin/bitcoin/pull/7552#discussion_r54148608,54148608,src/rpc/rawtransaction.cpp
mrbandrews,2016-03-10T16:12:47Z,"I wrote some code to test the ordering of dependent tx's, then realized this code here does the same thing my code did.  If you want to also test calling verifyrawtransaxtions with dependent tx's, you could add this code at this point.  It was suggested to me to copy-paste the git diff result: \n\n``` diff\ndiff --git a/qa/rpc-tests/rawtransactions.py b/qa/rpc-tests/rawtransactions.py\nindex 9039b",https://github.com/bitcoin/bitcoin/pull/7552#discussion_r55703411,55703411,qa/rpc-tests/rawtransactions.py
laanwj,2016-03-11T08:08:15Z,"Thanks, will add that test!\n",https://github.com/bitcoin/bitcoin/pull/7552#discussion_r55800385,55800385,qa/rpc-tests/rawtransactions.py
MarcoFalke,2016-03-14T15:26:17Z,"```\nAssertion failed: \n\n  File ""/home/travis/build/bitcoin/bitcoin/bitcoin-x86_64-unknown-linux-gnu/qa/rpc-tests/test_framework/test_framework.py"", line 135, in main\n\n    self.run_test()\n\n  File ""/home/travis/build/bitcoin/bitcoin/bitcoin-x86_64-unknown-linux-gnu/qa/rpc-tests/rawtransactions.py"", line 64, in run_test\n\n    assert(err['code'] == 16)\n```\n",https://github.com/bitcoin/bitcoin/pull/7552#discussion_r56018288,56018288,qa/rpc-tests/rawtransactions.py
laanwj,2016-03-14T17:29:39Z,"Hmm, interesting, so CheckSequenceLocks actually looks up the inputs, moving it after HaveInputs\n(more consistent with AcceptToMemoryPool anyhow)\n",https://github.com/bitcoin/bitcoin/pull/7552#discussion_r56040564,56040564,qa/rpc-tests/rawtransactions.py
