practicalswift,2017-09-11T09:29:45Z,Concept ACK. Very nice! :-),https://github.com/bitcoin/bitcoin/pull/11293#issuecomment-328473980,328473980,
sipa,2017-09-12T02:14:16Z,Use `filter->IsRelevantAndUpdate(*block.vtx[i])`.,https://github.com/bitcoin/bitcoin/pull/11293#discussion_r138237659,138237659,src/merkleblock.cpp
sipa,2017-09-12T02:23:25Z,"You're not allowed to pass a temporary into a method that expects a non-const reference. Non-const references are intended for output arguments, and passing a temporary would mean there is effectively no output argument the caller can observe.\n\nIt seems to be that using a pointer which can be optionally `nullptr` is the correct approach here.",https://github.com/bitcoin/bitcoin/pull/11293#discussion_r138238573,138238573,src/merkleblock.h
promag,2017-09-12T21:48:35Z,Should have tested my suggestion. Agree with this approach.,https://github.com/bitcoin/bitcoin/pull/11293#discussion_r138475417,138475417,src/merkleblock.h
promag,2017-09-12T21:49:26Z,"Nit, move before `#include ""random.h""`.",https://github.com/bitcoin/bitcoin/pull/11293#discussion_r138475622,138475622,src/test/bloom_tests.cpp
promag,2017-09-12T21:51:15Z,"Nit, just\n```cpp\nif (txids && txids->count(hash)) {\n```\nSame below.",https://github.com/bitcoin/bitcoin/pull/11293#discussion_r138475997,138475997,src/merkleblock.cpp
TheBlueMatt,2017-09-19T19:37:31Z,You've added a bunch of trailing whitespace in this file (as well as test_bitcoin.cpp in 2 places and test_bitcoin.h in one). If you re-push this PR should fail travis due to #11300.,https://github.com/bitcoin/bitcoin/pull/11293#discussion_r139796439,139796439,src/test/merkleblock_tests.cpp
TheBlueMatt,2017-09-19T21:00:51Z,"Seems a strange thing to test, here? Maybe document on merkleblock.h what this thing even means? (ie ""Set only when constructing from a bloom filter to allow testing the set of things which matched the bloom filter directly"").",https://github.com/bitcoin/bitcoin/pull/11293#discussion_r139816573,139816573,src/test/merkleblock_tests.cpp
TheBlueMatt,2017-09-19T21:02:13Z,"Would be neat to also test the vIndex values here, too, no?",https://github.com/bitcoin/bitcoin/pull/11293#discussion_r139816909,139816909,src/test/merkleblock_tests.cpp
jamesob,2017-09-21T03:37:18Z,"Ah, totally right. Editor config adjusted -- thanks.",https://github.com/bitcoin/bitcoin/pull/11293#discussion_r140142714,140142714,src/test/merkleblock_tests.cpp
jamesob,2017-09-21T03:38:04Z,Comment added inline with test as well as merkleblock.h. Basically just used your copy directly.,https://github.com/bitcoin/bitcoin/pull/11293#discussion_r140142762,140142762,src/test/merkleblock_tests.cpp
jamesob,2017-09-21T03:38:33Z,Good idea! Added.,https://github.com/bitcoin/bitcoin/pull/11293#discussion_r140142797,140142797,src/test/merkleblock_tests.cpp
