casey,2015-08-18T15:34:24Z,"I think this should check if the passed in height is too high, and throw an error if it is.\n",https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-132252059,132252059,
promag,2015-08-24T11:40:18Z,"Just to be clear, I'm fine with `blockheight`. However in your use case, if you know the block height of `X` then you can also know the block timestamp, right? \n",https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-134162940,134162940,
dcousens,2015-08-24T12:55:12Z,"> However in your use case, if you know the block height of X then you can also know the block timestamp, right?\n\nHow do you figure that?  Maybe I should,  but,  from the data I currently have,  that isn't the case.\n",https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-134186743,134186743,
promag,2015-08-24T13:31:56Z,"Off topic, but I was assuming you use blocknotify script, then get the block and txs.\n",https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-134201471,134201471,
laanwj,2015-08-25T09:22:19Z,"@promag\n\n```\n{\n  ""type"": ""privkey | pubkey | ..."",\n  ""value"": ""..."",\n  ""timestamp"": ""..."",         // optional\n  ""label"": ""...""              // optional\n}]\n```\n\nLooks good to me!\n",https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-134537554,134537554,
promag,2015-08-25T09:35:32Z,@laanwj and `importmulti` or just `import`?\n,https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-134539636,134539636,
laanwj,2015-08-25T10:39:10Z,"I'm very bad at bikeshedding names, but I'd say `importmulti`\n",https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-134551177,134551177,
ruimarinho,2015-08-25T10:43:51Z,I'd call it `import` for simplicity and flexibility. We should also discuss whether this new RPC call accepts a single object or only collections.\n,https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-134552711,134552711,
laanwj,2015-08-25T11:40:36Z,"Simple: if you want to pass it one, just pass an array of one. You could even pass it an empty array.\n",https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-134561126,134561126,
ruimarinho,2015-08-25T15:14:02Z,"Are you open to a polymorphic method where a JSON object is converted internally to JSON collection of a single item? Not that important, but at least it'd be a little bit more flexible for devs.\n\n```\nimport { ""type"": ""privkey"", ""value"": ""..."" }\nimport [{ ""type"": ""privkey"", ""value"": ""..."" }]\n```\n",https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-134618740,134618740,
MarcoFalke,2015-09-23T15:03:54Z,@promag  Any updates on this?\n,https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-142631000,142631000,
gmaxwell,2015-11-17T01:38:32Z,"Hm. Concept wise, I am really unhappy that right now pruning completely disables rescan. This means you can't use pruning with many common use cases.\n\nFor example, pruning more than a month old + merchant wallet that watchadds right around the time it gives out a key-- without the ability to do a limited rescan you have to get everything exactly right or risk missing a payment.\n\nOne thought I ",https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-157233593,157233593,
promag,2015-11-17T10:03:13Z,"@MarcoFalke been busy, but I'll resume soon.\n",https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-157325309,157325309,
nunofgs,2015-11-18T10:34:29Z,@promag: will you be adding tests for this feature?\n,https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-157673588,157673588,
promag,2015-11-18T11:47:34Z,@nunofgs sure thing mate :smile: \n,https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-157687859,157687859,
luke-jr,2016-01-03T14:28:16Z,"A lot of redundant code in the import\* RPCs - maybe it can be abstracted better? Also, it would be ideal (but not necessary in this PR I suppose) to support rescanning in pruned mode when possible...\n",https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-168501470,168501470,
luke-jr,2016-01-03T14:29:25Z,(and Concept ACK for importmulti)\n,https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-168501512,168501512,
dcousens,2016-01-03T22:44:34Z,needs rebase\n,https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-168549023,168549023,
promag,2016-02-25T01:09:24Z,Deprecated by #7551.\n,https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-188544043,188544043,
promag,2016-02-25T01:10:32Z,@gmaxwell in #7551 rescan is done even if prunning is enabled.\n,https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-188544248,188544248,
MarcoFalke,2015-08-19T14:14:50Z,With the current implementation of `FindLatestBefore()` this is dead code and can never be thrown?\n,https://github.com/bitcoin/bitcoin/pull/6570#discussion_r37418749,37418749,src/wallet/rpcdump.cpp
jonasschnelli,2015-08-20T06:57:32Z,"As already commented, i think we should go down serval blocks (~144) because of possible inaccurate timestamps.\n",https://github.com/bitcoin/bitcoin/pull/6570#discussion_r37500018,37500018,src/chain.cpp
dcousens,2015-08-20T07:07:17Z,@jonasschnelli what is the variance on timestamps?  Is ~144 enough (or to much)?\n,https://github.com/bitcoin/bitcoin/pull/6570#discussion_r37500500,37500500,src/chain.cpp
jonasschnelli,2015-08-20T07:15:22Z,"The cost of rescaning 144 blocks deeper (~1day) is pretty low (+some seconds/minutes). Given that the source of the timestamp is unknown (user could enter it manually because he know when he approx. created the key, or other wallet software did mess around with timezones, etc.) this cost of +144 blocks is probably worth taking.\n",https://github.com/bitcoin/bitcoin/pull/6570#discussion_r37500964,37500964,src/chain.cpp
promag,2015-08-20T09:33:16Z,"@jonasschnelli However if you know the exact timestamp then that extra time is unnecessary. For a person the offset may be useful, but for a system I think not.\n",https://github.com/bitcoin/bitcoin/pull/6570#discussion_r37511134,37511134,src/chain.cpp
ruimarinho,2015-08-21T00:15:04Z,"Agreed with @promag, a system can add the safety net of ~144 blocks to the timestamp if necessary and a person likely knows what they are doing if they opt in for this.\n",https://github.com/bitcoin/bitcoin/pull/6570#discussion_r37595515,37595515,src/chain.cpp
ruimarinho,2015-08-21T00:20:55Z,"I think the default should be `1231006505` (genesis block), as this is epoch time and therefor not a relative value.\n",https://github.com/bitcoin/bitcoin/pull/6570#discussion_r37595822,37595822,src/wallet/rpcdump.cpp
dcousens,2015-08-21T00:34:57Z,"@jonasschnelli have to agree with @ruimarinho,  this safety net could _easily_ be added by the API user, if desired.\nOverall, the only danger for this lies in people using the `timestamp` aspect of the API instead of a block height.\n",https://github.com/bitcoin/bitcoin/pull/6570#discussion_r37596485,37596485,src/chain.cpp
dexX7,2015-08-24T15:39:04Z,"@ruimarinho: note that `1231006505` is only the timestamp of the [mainnet](https://github.com/bitcoin/bitcoin/blob/e3f13ddc54142788261e3e0a16386cfcefb9bdc5/src/chainparams.cpp#L92) genesis block, whereby it's `1296688602` for [testnet](https://github.com/bitcoin/bitcoin/blob/e3f13ddc54142788261e3e0a16386cfcefb9bdc5/src/chainparams.cpp#L165) and [regtest](https://github.com/bitcoin/bitcoin/blob/e3f",https://github.com/bitcoin/bitcoin/pull/6570#discussion_r37765168,37765168,src/wallet/rpcdump.cpp
promag,2015-11-17T10:10:54Z,"I would leave the default value as `0` meaning `Thu, 01 Jan 1970 00:00:00 GMT` and mention in the description it is epoch time. I see no point to use the first main block timestamp.\n",https://github.com/bitcoin/bitcoin/pull/6570#discussion_r45041524,45041524,src/wallet/rpcdump.cpp
luke-jr,2016-01-03T14:24:08Z,Maybe just using the median time past is sufficient?\n,https://github.com/bitcoin/bitcoin/pull/6570#discussion_r48693618,48693618,src/chain.cpp
luke-jr,2016-01-03T14:25:48Z,"Why not just repurpose the rescan parameter? That is, if it's a boolean, you get the current behaviour, but if it's a Number, you interpret it as a timestamp.\n",https://github.com/bitcoin/bitcoin/pull/6570#discussion_r48693643,48693643,src/wallet/rpcdump.cpp
luke-jr,2016-01-03T14:26:39Z,It's also a useless error - the user doesn't care if there was a block before their timestamp... just rescan the entire chain in that case.\n,https://github.com/bitcoin/bitcoin/pull/6570#discussion_r48693654,48693654,src/wallet/rpcdump.cpp
jtimon,2016-01-03T18:57:20Z,Using the median time past seems to solve the concern without introducing much extra complexity.\n,https://github.com/bitcoin/bitcoin/pull/6570#discussion_r48695821,48695821,src/chain.cpp
jtimon,2016-01-03T18:58:55Z,"@luke-jr that seems less clear and more confusing for no good reason (unless I'm missing the good reason, of course).\n",https://github.com/bitcoin/bitcoin/pull/6570#discussion_r48695835,48695835,src/wallet/rpcdump.cpp
luke-jr,2016-01-03T21:22:11Z,It's less ugly than two fields IMO.\n,https://github.com/bitcoin/bitcoin/pull/6570#discussion_r48697410,48697410,src/wallet/rpcdump.cpp
MarcoFalke,2016-01-03T21:36:49Z,"What about getting rid of the boolean in the help message and only mention the numeric? (The code could still accept boolean for some grace period, though)\n",https://github.com/bitcoin/bitcoin/pull/6570#discussion_r48697548,48697548,src/wallet/rpcdump.cpp
luke-jr,2016-01-03T21:43:05Z,"Without the boolean, there is no way to skip rescan altogether.\n",https://github.com/bitcoin/bitcoin/pull/6570#discussion_r48697611,48697611,src/wallet/rpcdump.cpp
MarcoFalke,2016-01-03T21:47:59Z,"Set the timestamp to block+1 or today+1, which will rescan only the block of the tip, iirc.\n",https://github.com/bitcoin/bitcoin/pull/6570#discussion_r48697671,48697671,src/wallet/rpcdump.cpp
luke-jr,2016-01-03T21:55:42Z,Surely that is not a serious suggestion...\n,https://github.com/bitcoin/bitcoin/pull/6570#discussion_r48697745,48697745,src/wallet/rpcdump.cpp
jtimon,2016-01-03T22:47:55Z,"I prefer luke-jr's solution provided it's not ""bool and time at the same time"". It could be always timestamp but 0 can mean no rescan or something like that. rescan=1 meaning ""rescan true but with the dwfault timestamp which is not 1"" is what seems too unintuitive to me (not having one parameter instead of two) and is what I understood luke was proposing (but please clarify if you were suggesting ",https://github.com/bitcoin/bitcoin/pull/6570#discussion_r48698322,48698322,src/wallet/rpcdump.cpp
MarcoFalke,2016-01-03T23:02:08Z,"@luke-jr So your suggestion is something like `""3. rescan               (boolean or numeric, optional, default=true) Rescan for wallet transactions starting at the genesis block. A numeric argument is interpreted as the timestamp of the block where to begin to rescan.\n""`?\n",https://github.com/bitcoin/bitcoin/pull/6570#discussion_r48698499,48698499,src/wallet/rpcdump.cpp
jtimon,2016-01-03T23:09:41Z,"What about something like...`""3. rescan (numeric, optional, default=1231006505) Rescan for wallet transactions starting at the timestamp provided (main chain genesis block by default). 0 indicates no rescan.\n""` ?\n",https://github.com/bitcoin/bitcoin/pull/6570#discussion_r48698591,48698591,src/wallet/rpcdump.cpp
MarcoFalke,2016-01-03T23:13:10Z,Would work for me. And then throw the `JSON value is not an integer as expected (code -1)` or accept it during a grace period?\n\nEdit: fixed typo per @jtimon \n,https://github.com/bitcoin/bitcoin/pull/6570#discussion_r48698643,48698643,src/wallet/rpcdump.cpp
jtimon,2016-01-03T23:18:58Z,"you mean ""is not numeric as expected""?\nI would prefer to do that than to have the argument be ""bool or numeric"" for some time. If we really want to do the grace period, better create a new one and remove the old one after the grace period.\n",https://github.com/bitcoin/bitcoin/pull/6570#discussion_r48698696,48698696,src/wallet/rpcdump.cpp
luke-jr,2016-01-04T02:14:22Z,"> So your suggestion is something like ""3. rescan (boolean or numeric, optional, default=true) Rescan for wallet transactions starting at the genesis block. A numeric argument is interpreted as the timestamp of the block where to begin to rescan.\n""?\n\n@MarcoFalke Exactly. This is clean.\n",https://github.com/bitcoin/bitcoin/pull/6570#discussion_r48701037,48701037,src/wallet/rpcdump.cpp
