instagibbs,2016-07-20T01:35:49Z,"""Progress increase per hour"" is a bit weird sounding to me, maybe ""Sync progress per hour""?\n",https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-233815300,233815300,
gmaxwell,2016-09-22T23:57:30Z,"Too much text, esp too much bolded text. I automatically don't read the top part (though I did in the original version).  Also ""Spending bitcoins is not possible during that phase!"" is _not_ true.\n",https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-249061852,249061852,
sipa,2016-09-23T00:01:20Z,Well you can't spend funds your client hasn't seen the receival of.\n,https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-249062482,249062482,
gmaxwell,2016-09-23T00:10:33Z,"@sipa Yes, but you _can_ spend anything you can see... This is a common point of confusion already. And in the common case where you had bitcoin off for the last month, but received no payment since then, you're good to go for sending.\n",https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-249063827,249063827,
jonasschnelli,2016-09-23T06:12:25Z,"@gmaxwell: would you be willing providing a better text?\n\nI agree that ""spending Bitcoins is not possible"" is not true and can lead to confusion, especially if one catches up just a couple of days (the info-layer will also be shown then).\n",https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-249111214,249111214,
jonasschnelli,2016-09-23T13:33:35Z,"Force pushed a text- and bold-section-change.\nThis is how it looks now:\n<img width=""962"" alt=""bildschirmfoto 2016-09-23 um 15 31 38"" src=""https://cloud.githubusercontent.com/assets/178464/18787405/0b1c40c2-81a3-11e6-9cfc-6abb5ba6b764.png"">\n",https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-249194168,249194168,
MarcoFalke,2016-09-23T14:06:48Z,Are you sure you pushed the text change?\n,https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-249202415,249202415,
jonasschnelli,2016-09-23T14:07:49Z,Pushed now.. \n,https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-249202648,249202648,
MarcoFalke,2016-09-23T14:33:09Z,ACK 08827df3ecce925928dc3bedcdef63bfca290300\n,https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-249209095,249209095,
Xekyo,2016-09-26T14:02:31Z,"Instead of ""this process"" and ""that phase"" I would repeat ""synchronization"":\n\n> The displayed information may be out of date.\n> Your wallet automatically synchronizes with the Bitcoin network while connected, but synchronization has not completed yet. Recent transactions will not be visible until your wallet catches up to the network. Your balance will update as transactions are processed.\n> S",https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-249578066,249578066,
MarcoFalke,2016-09-21T08:12:03Z,nit\n\n``` cpp\nstatic const int MAX_SAMPLES = 5000;\n```\n,https://github.com/bitcoin/bitcoin/pull/8371#discussion_r79779929,79779929,src/qt/modaloverlay.cpp
MarcoFalke,2016-09-21T08:12:20Z,Where does it say 10 in the source code?\n,https://github.com/bitcoin/bitcoin/pull/8371#discussion_r79779984,79779984,src/qt/modaloverlay.cpp
MarcoFalke,2016-09-21T08:14:51Z,"nit: I don't think this is proper English. Idk, get rid of the `Of`?\n",https://github.com/bitcoin/bitcoin/pull/8371#discussion_r79780411,79780411,src/qt/walletframe.h
MarcoFalke,2016-09-21T08:16:33Z,"style nit: brackets are ""required"" for the else when they are used for the if.\n",https://github.com/bitcoin/bitcoin/pull/8371#discussion_r79780681,79780681,src/qt/bitcoingui.cpp
MarcoFalke,2016-09-23T09:22:01Z,Maybe\n\n``` vim\ns/possible/recommended/\n```\n\n?\n,https://github.com/bitcoin/bitcoin/pull/8371#discussion_r80209552,80209552,src/qt/forms/modaloverlay.ui
jonasschnelli,2016-09-23T10:31:07Z,Or what about [...]Spending bitcoins **may** not be possible[...]?\n,https://github.com/bitcoin/bitcoin/pull/8371#discussion_r80219988,80219988,src/qt/forms/modaloverlay.ui
MarcoFalke,2016-09-23T11:59:26Z,"Fine, I think either is better.\n",https://github.com/bitcoin/bitcoin/pull/8371#discussion_r80230722,80230722,src/qt/forms/modaloverlay.ui
MarcoFalke,2016-09-25T23:03:21Z,"Why is this needed?\n\nOh, nvm. It is needed so a header update is not accidentally lost. Still, this makes the gui unresponsive when `-reindex` is used...\n",https://github.com/bitcoin/bitcoin/pull/8371#discussion_r80394268,80394268,src/qt/clientmodel.cpp
