jgarzik,2015-04-01T03:56:38Z,Nice.. I've wanted something like 'generate'  Passes quick-glance review.  Will test.\n,https://github.com/bitcoin/bitcoin/pull/5957#issuecomment-88342337,88342337,
sipa,2015-04-08T18:09:36Z,This is about resetting the nonce if it's about to overflow. The other check is about occasionally interrupting the mining loop.\n,https://github.com/bitcoin/bitcoin/pull/5957#discussion_r27996629,27996629,src/miner.cpp
sipa,2015-04-08T18:12:42Z,"Yeah, just CheckProofOfWork would be fine, if we removed its error reporting (which imho we should in any case...), as now regtest mining beyond the first 2016 blocks prints 1000s of error messages to the log for each miner block as a result.\n",https://github.com/bitcoin/bitcoin/pull/5957#discussion_r27996954,27996954,src/miner.cpp
sipa,2015-04-08T18:23:34Z,Agree.\n,https://github.com/bitcoin/bitcoin/pull/5957#discussion_r27998129,27998129,src/rpcmining.cpp
jtimon,2015-04-08T21:05:27Z,Can you at least move the check in ScanLoop inside ScanHash for now?\n,https://github.com/bitcoin/bitcoin/pull/5957#discussion_r28013125,28013125,src/miner.cpp
jtimon,2015-04-08T21:50:13Z,"Sorry, you can prevent the overflow by replacing the middle while(true) loop [the one that first checks if ScanLoop()] with a for loop. Then you can remove this check (from the two places it appears in) and this access to CBlockHeader::nNonce is not required.\nBy the way, you're incrementing CBlockHeader::nNonce in ScanHash, but where are you resetting it to 0? \n",https://github.com/bitcoin/bitcoin/pull/5957#discussion_r28017344,28017344,src/miner.cpp
jtimon,2015-04-08T21:56:13Z,This can be moved inside ScanLoop to avoid code duplication.\n,https://github.com/bitcoin/bitcoin/pull/5957#discussion_r28017873,28017873,src/miner.cpp
sipa,2015-04-08T22:20:57Z,I'm not doing that as long as it produces this much debug output - that makes it effectively unusable for mining a >2016 long block chain. That error output should probably be discussed elsewhere.\n,https://github.com/bitcoin/bitcoin/pull/5957#discussion_r28019878,28019878,src/miner.cpp
sipa,2015-04-08T22:33:52Z,ack\n,https://github.com/bitcoin/bitcoin/pull/5957#discussion_r28020798,28020798,src/miner.cpp
sipa,2015-04-08T22:35:12Z,"The nonce is reset when a new block attempt is created by calling CreateNewBlockWithKey.\n\nI don't understand the rest of the comment, but I'll try to rework it a bit.\n",https://github.com/bitcoin/bitcoin/pull/5957#discussion_r28020880,28020880,src/miner.cpp
sipa,2015-04-08T22:36:40Z,"Wait, I misunderstood. Yes, that seems fine.\n",https://github.com/bitcoin/bitcoin/pull/5957#discussion_r28020978,28020978,src/miner.cpp
jtimon,2015-04-08T22:45:39Z,"Yes, as said in the other PR I plan to solve the warning problem soon as part of the consensus work for blockheader.\nAt that point that check can be directly replaced by CheckProofOfWork, I'm not proposing to do it now.\n",https://github.com/bitcoin/bitcoin/pull/5957#discussion_r28021545,28021545,src/miner.cpp
jtimon,2015-04-08T22:51:18Z,"I mean, it's just a nit and probably the more irrational one of the 3, I would just like to minimize the accesses to nBits and nNonce in the code so that the strictly-pow stuff doesn't take much to read.\nIf you don't make anything about this, thank you for the try.\n",https://github.com/bitcoin/bitcoin/pull/5957#discussion_r28021894,28021894,src/miner.cpp
