bmos,2014-10-30T17:37:42Z,"Ooh, that sounds like a pretty slick improvement!\n",https://github.com/bitcoin/bitcoin/pull/5159#issuecomment-61135038,61135038,
morcos,2015-05-11T14:58:55Z,"@bitcoinfees, thanks for the comments.  I think asking for the mean number of blocks to confirmation is a slightly different question than I answered.  It's not clear if one question is better than another, but the way I defined the question is what fee would you need to have a sufficiently high percentage chance of getting confirmed in the desired number of blocks, so it kind of requires a MIN_SU",https://github.com/bitcoin/bitcoin/pull/5159#issuecomment-100936299,100936299,
gavinandresen,2015-05-12T18:50:21Z,Code review and lightly tested ACK.\n\nI'm updating core2.bitcoincore.org to run this version of the code now.\n,https://github.com/bitcoin/bitcoin/pull/5159#issuecomment-101384840,101384840,
morcos,2015-05-12T19:13:19Z,squashed to hopefully make it mergeable\n,https://github.com/bitcoin/bitcoin/pull/5159#issuecomment-101391282,101391282,
morcos,2015-05-13T14:43:02Z,nits addressed\n,https://github.com/bitcoin/bitcoin/pull/5159#issuecomment-101692736,101692736,
laanwj,2015-05-13T15:01:56Z,utACK\n,https://github.com/bitcoin/bitcoin/pull/5159#issuecomment-101704877,101704877,
morcos,2015-04-23T17:33:45Z,"The transaction being added to the mempool has actually been copied twice at this point.  The first time when the CTxMemPoolEntry was created, and now again when its copied into the map, which will be its permanent home.  This was not introduced by this PR, but a further PR should consider eliminating one of the copy operations.\n",https://github.com/bitcoin/bitcoin/pull/5159#discussion_r28984461,28984461,src/txmempool.cpp
sdaftuar,2015-04-27T14:20:55Z,The comment above is no longer relevant here.\n,https://github.com/bitcoin/bitcoin/pull/5159#discussion_r29149942,29149942,src/txmempool.cpp
sdaftuar,2015-04-27T16:06:43Z,nit: this forward declaration doesn't appear to be necessary\n,https://github.com/bitcoin/bitcoin/pull/5159#discussion_r29161022,29161022,src/txmempool.h
sdaftuar,2015-04-29T15:22:28Z,nit: succeess -> success\n,https://github.com/bitcoin/bitcoin/pull/5159#discussion_r29346655,29346655,src/policy/fees.cpp
fanquake,2015-05-13T14:29:02Z,nit: just MIT\n,https://github.com/bitcoin/bitcoin/pull/5159#discussion_r30235629,30235629,src/policy/fees.cpp
fanquake,2015-05-13T14:30:09Z,also here\n,https://github.com/bitcoin/bitcoin/pull/5159#discussion_r30235763,30235763,src/policy/fees.h
