ghost,2014-04-12T22:30:33Z,:+1: \n,https://github.com/bitcoin/bitcoin/pull/4048#issuecomment-40293488,40293488,
laanwj,2014-04-14T07:29:39Z,maybe add `assert(carry == 0);` to catch a bug that causes an overflow\n(same in EncodeBase58)\n,https://github.com/bitcoin/bitcoin/pull/4048#discussion_r11573223,11573223,src/base58.cpp
sipa,2014-04-14T09:58:39Z,Done.\n,https://github.com/bitcoin/bitcoin/pull/4048#discussion_r11577319,11577319,src/base58.cpp
sipa,2014-04-14T09:58:47Z,Done.\n,https://github.com/bitcoin/bitcoin/pull/4048#discussion_r11577323,11577323,src/base58.cpp
theuni,2014-04-22T04:59:59Z,```\nstd::vector<unsigned char> b256(strlen(psz) * 733 / 1000 + 1)\n```\n\nWould avoid a realloc.\n,https://github.com/bitcoin/bitcoin/pull/4048#discussion_r11838458,11838458,src/base58.cpp
theuni,2014-04-22T05:01:18Z,possible null pointer dereference?\n,https://github.com/bitcoin/bitcoin/pull/4048#discussion_r11838477,11838477,src/base58.cpp
theuni,2014-04-22T05:06:06Z,possible null pointer dereference?\n,https://github.com/bitcoin/bitcoin/pull/4048#discussion_r11838527,11838527,src/base58.cpp
theuni,2014-04-22T05:09:08Z,See previous note. Is there an advantage to using resize() that I'm unaware of?\n,https://github.com/bitcoin/bitcoin/pull/4048#discussion_r11838565,11838565,src/base58.cpp
theuni,2014-04-22T05:10:41Z,"std::string str(zeroes, '1');\n",https://github.com/bitcoin/bitcoin/pull/4048#discussion_r11838586,11838586,src/base58.cpp
sipa,2014-04-22T07:03:43Z,"I don't think empty-constructed vector do any allocation. Still, it can be written in one line.\n",https://github.com/bitcoin/bitcoin/pull/4048#discussion_r11840571,11840571,src/base58.cpp
sipa,2014-04-22T07:07:03Z,"No, psz can't be NULL.\n\nIf you mean possible read beyond the end of the string: no, while(isspace ()) will stop at the terminating 0.\n\nReasons like this is why methods like these should use proper C++ techniques (use std::string, or at least begin/end iterators). But I prefer doing that separately, and not changing their interface now.\n",https://github.com/bitcoin/bitcoin/pull/4048#discussion_r11840633,11840633,src/base58.cpp
sipa,2014-04-22T07:09:17Z,"If you're passing in NULL, sure. Adding a comment in the .h file.\n",https://github.com/bitcoin/bitcoin/pull/4048#discussion_r11840675,11840675,src/base58.cpp
sipa,2014-04-22T07:25:40Z,"In the current code, not really. I'm changing it to first issue a .reserve(), so that everything happens in one allocation.\n",https://github.com/bitcoin/bitcoin/pull/4048#discussion_r11841020,11841020,src/base58.cpp
sipa,2014-04-22T07:25:59Z,Also doing a reserve here first.\n,https://github.com/bitcoin/bitcoin/pull/4048#discussion_r11841028,11841028,src/base58.cpp
