jonasschnelli,2016-08-24T06:39:33Z,Nice!\nConcept ACK.\n,https://github.com/bitcoin/bitcoin/pull/8566#issuecomment-241971324,241971324,
btcdrak,2016-08-25T11:12:05Z,This should default to lxc because it is the default according to the instructions we ship.\n,https://github.com/bitcoin/bitcoin/pull/8566#discussion_r76224004,76224004,contrib/gitian-build.sh
btcdrak,2016-08-25T11:20:18Z,if signer is missing you should display the usage\n\nfor example the `ln` command spits out\n\n```\n$ ln\nln: missing file operand\nTry 'ln --help' for more information.\n```\n\nSo I suggest:\n\n```\n$0: Missing signer\nUsage: $0 [-c|u|v|b|s|B|o|h|j|m|] signer version\n```\n\nor\n\n```\n$0: Missing signer\nTry $0 -h\n```\n,https://github.com/bitcoin/bitcoin/pull/8566#discussion_r76224923,76224923,contrib/gitian-build.sh
btcdrak,2016-08-25T11:20:35Z,Suggest\n\n```\n$0: Missing version\nUsage: $0 [-c|u|v|b|s|B|o|h|j|m|] signer version\n```\n\nor \n\n```\n$0: Missing version\nTry $0 -h\n```\n,https://github.com/bitcoin/bitcoin/pull/8566#discussion_r76224950,76224950,contrib/gitian-build.sh
btcdrak,2016-08-25T11:22:02Z,Consider using `$0` in place of `gitian-build.sh`\n,https://github.com/bitcoin/bitcoin/pull/8566#discussion_r76225090,76225090,contrib/gitian-build.sh
btcdrak,2016-08-25T11:25:26Z,Can I suggest we make these two URLs a variable defined at the beginning of the file. If this dep is updated in the future it will make it easier to spot.\n,https://github.com/bitcoin/bitcoin/pull/8566#discussion_r76225457,76225457,contrib/gitian-build.sh
fanquake,2016-08-28T04:31:05Z,nit: looks like the default is actually [4000](https://github.com/bitcoin/bitcoin/pull/8566/files#diff-436c4e7496c0c2c2e1146ea5bb18079fR18).\n,https://github.com/bitcoin/bitcoin/pull/8566#discussion_r76525964,76525964,contrib/gitian-build.sh
luke-jr,2016-08-28T04:33:03Z,The default probably should be 2000. 32-bit KVM has a limit of 2047...\n,https://github.com/bitcoin/bitcoin/pull/8566#discussion_r76525974,76525974,contrib/gitian-build.sh
MarcoFalke,2016-08-28T05:43:47Z,@luke-jr this would require setting `-j` to 1 as well. I don't think those are sensible defaults for gitian building.\n,https://github.com/bitcoin/bitcoin/pull/8566#discussion_r76526408,76526408,contrib/gitian-build.sh
btcdrak,2016-08-28T09:54:10Z,It's time @luke-jr upgraded to 64 bits :8ball: \n,https://github.com/bitcoin/bitcoin/pull/8566#discussion_r76529192,76529192,contrib/gitian-build.sh
achow101,2016-08-28T13:37:10Z,"The [default from gitian](https://github.com/devrandom/gitian-builder/blob/master/bin/gbuild#L8) is `-j 2` and `-m 2000`, so I will set that to be the default.\n",https://github.com/bitcoin/bitcoin/pull/8566#discussion_r76532061,76532061,contrib/gitian-build.sh
sipa,2016-08-28T13:38:53Z,I would expect -j2 -m2000 to OOM.\n,https://github.com/bitcoin/bitcoin/pull/8566#discussion_r76532093,76532093,contrib/gitian-build.sh
achow101,2016-08-28T13:41:11Z,"It doesn't (at least, I haven't seen it do that). I have run gitian with the defaults before and it works fine, albeit rather slowly.\n",https://github.com/bitcoin/bitcoin/pull/8566#discussion_r76532127,76532127,contrib/gitian-build.sh
MarcoFalke,2016-08-28T15:16:25Z,"It was causing OOM for me (on kvm, though).\n",https://github.com/bitcoin/bitcoin/pull/8566#discussion_r76533784,76533784,contrib/gitian-build.sh
luke-jr,2016-08-28T16:49:05Z,I have no problems building with -j2 -m2047 at least (KVM).\n,https://github.com/bitcoin/bitcoin/pull/8566#discussion_r76535376,76535376,contrib/gitian-build.sh
