dcousens,2015-11-12T03:06:44Z,Concept ACK\n,https://github.com/bitcoin/bitcoin/pull/6993#issuecomment-155983963,155983963,
gmaxwell,2015-11-14T08:06:23Z,@laanwj We don't need to send an empty filterload because the relay flag has the same effect! (and doesn't require NODE_BLOOM support)\n,https://github.com/bitcoin/bitcoin/pull/6993#issuecomment-156666383,156666383,
gmaxwell,2015-11-14T08:15:13Z,"@pstratem Move the DEFAULT_BLOCKSONLY to net.h, then you can use it everywhere uniformly and future programmers will not hate you quite so much.  (thanks to @laanwj for asking the dumb question I missed. :) )\n",https://github.com/bitcoin/bitcoin/pull/6993#issuecomment-156667307,156667307,
rebroad,2016-03-16T19:13:15Z,Erk.. This is really ugly... And the pull doesn't even state who needs this functionality or why.\n,https://github.com/bitcoin/bitcoin/pull/6993#issuecomment-197496135,197496135,
luke-jr,2016-03-16T21:56:12Z,@rebroad Basically this makes Core a blockchain-only node and disables off-chain transactions.\n,https://github.com/bitcoin/bitcoin/pull/6993#issuecomment-197568102,197568102,
gmaxwell,2016-03-16T22:37:27Z,"@rebroad It's fairly self explanatory. If you want to run a node that only processes blocks (e.g. don't care about unconfirmed transactions); you can set this and save ~80% of your bandwidth, including all redundant transmission of block data; ""Blocksonly"". This is good for many applications (including my laptop... :) )\n",https://github.com/bitcoin/bitcoin/pull/6993#issuecomment-197587259,197587259,
rebroad,2016-03-17T11:04:51Z,"Ah, I thought I had raised a pull request for my Antisocial fork, but it seems not. I think it would be useful to have an option to do blocksonly during IBD only.  Would this be of interest to anyone?\n",https://github.com/bitcoin/bitcoin/pull/6993#issuecomment-197822831,197822831,
laanwj,2016-03-17T11:20:10Z,"> to do blocksonly during IBD only\n\n@rebroad That should already be the case? Most node functionality, such as requesting transactions, is disabled during IBD\n",https://github.com/bitcoin/bitcoin/pull/6993#issuecomment-197830714,197830714,
laanwj,2015-11-12T10:58:18Z,Please define a `static const bool DEFAULT_WHITELISTALWAYSRELAY = true;` in `main.h`  and use that\n(sorry for making your patch even more hideously huge)\n,https://github.com/bitcoin/bitcoin/pull/6993#discussion_r44644381,44644381,src/main.cpp
MarcoFalke,2015-11-12T11:01:26Z,"Also, HelpMessage needs update?\n",https://github.com/bitcoin/bitcoin/pull/6993#discussion_r44644672,44644672,src/main.cpp
MarcoFalke,2015-11-12T11:18:05Z,@pstratem You can hide them behind `showDebug`.\n,https://github.com/bitcoin/bitcoin/pull/6993#discussion_r44645999,44645999,src/main.cpp
